"column_name","family","tenor","wing","form","base_column","units","description","formula"
"z_convex_90d_10p_atm_10c","convex","90d","10p_atm_10c","z","convex_90d_10p_atm_10c","z_score","63-trading-day rolling z-score of convex_90d_10p_atm_10c (snapshot-aligned)","(convex_90d_10p_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_90d_10p_atm_10c","convex","90d","10p_atm_10c","chg_d","convex_90d_10p_atm_10c","vol_decimal","Daily change of convex_90d_10p_atm_10c (snapshot-aligned)","convex_90d_10p_atm_10c_t - convex_90d_10p_atm_10c_{t-1td, same quote_time}"
"chg_1w_convex_90d_10p_atm_10c","convex","90d","10p_atm_10c","chg_1w","convex_90d_10p_atm_10c","vol_decimal","Weekly (5td) change of convex_90d_10p_atm_10c (snapshot-aligned)","convex_90d_10p_atm_10c_t - convex_90d_10p_atm_10c_{t-5td, same quote_time}"
"z_convex_180d_10p_25p_atm","convex","180d","10p_25p_atm","z","convex_180d_10p_25p_atm","z_score","63-trading-day rolling z-score of convex_180d_10p_25p_atm (snapshot-aligned)","(convex_180d_10p_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_180d_10p_25p_atm","convex","180d","10p_25p_atm","chg_d","convex_180d_10p_25p_atm","vol_decimal","Daily change of convex_180d_10p_25p_atm (snapshot-aligned)","convex_180d_10p_25p_atm_t - convex_180d_10p_25p_atm_{t-1td, same quote_time}"
"chg_1w_convex_180d_10p_25p_atm","convex","180d","10p_25p_atm","chg_1w","convex_180d_10p_25p_atm","vol_decimal","Weekly (5td) change of convex_180d_10p_25p_atm (snapshot-aligned)","convex_180d_10p_25p_atm_t - convex_180d_10p_25p_atm_{t-5td, same quote_time}"
"z_convex_180d_atm_25c_10c","convex","180d","atm_25c_10c","z","convex_180d_atm_25c_10c","z_score","63-trading-day rolling z-score of convex_180d_atm_25c_10c (snapshot-aligned)","(convex_180d_atm_25c_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_180d_atm_25c_10c","convex","180d","atm_25c_10c","chg_d","convex_180d_atm_25c_10c","vol_decimal","Daily change of convex_180d_atm_25c_10c (snapshot-aligned)","convex_180d_atm_25c_10c_t - convex_180d_atm_25c_10c_{t-1td, same quote_time}"
"chg_1w_convex_180d_atm_25c_10c","convex","180d","atm_25c_10c","chg_1w","convex_180d_atm_25c_10c","vol_decimal","Weekly (5td) change of convex_180d_atm_25c_10c (snapshot-aligned)","convex_180d_atm_25c_10c_t - convex_180d_atm_25c_10c_{t-5td, same quote_time}"
"z_convex_180d_25p_atm_25c","convex","180d","25p_atm_25c","z","convex_180d_25p_atm_25c","z_score","63-trading-day rolling z-score of convex_180d_25p_atm_25c (snapshot-aligned)","(convex_180d_25p_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_180d_25p_atm_25c","convex","180d","25p_atm_25c","chg_d","convex_180d_25p_atm_25c","vol_decimal","Daily change of convex_180d_25p_atm_25c (snapshot-aligned)","convex_180d_25p_atm_25c_t - convex_180d_25p_atm_25c_{t-1td, same quote_time}"
"chg_1w_convex_180d_25p_atm_25c","convex","180d","25p_atm_25c","chg_1w","convex_180d_25p_atm_25c","vol_decimal","Weekly (5td) change of convex_180d_25p_atm_25c (snapshot-aligned)","convex_180d_25p_atm_25c_t - convex_180d_25p_atm_25c_{t-5td, same quote_time}"
"z_convex_180d_10p_atm_10c","convex","180d","10p_atm_10c","z","convex_180d_10p_atm_10c","z_score","63-trading-day rolling z-score of convex_180d_10p_atm_10c (snapshot-aligned)","(convex_180d_10p_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_convex_180d_10p_atm_10c","convex","180d","10p_atm_10c","chg_d","convex_180d_10p_atm_10c","vol_decimal","Daily change of convex_180d_10p_atm_10c (snapshot-aligned)","convex_180d_10p_atm_10c_t - convex_180d_10p_atm_10c_{t-1td, same quote_time}"
"chg_1w_convex_180d_10p_atm_10c","convex","180d","10p_atm_10c","chg_1w","convex_180d_10p_atm_10c","vol_decimal","Weekly (5td) change of convex_180d_10p_atm_10c (snapshot-aligned)","convex_180d_10p_atm_10c_t - convex_180d_10p_atm_10c_{t-5td, same quote_time}"
"z_rr_1d_25","rr","1d","25d","z","rr_1d_25","z_score","63-trading-day rolling z-score of rr_1d_25 (snapshot-aligned)","(rr_1d_25_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_1d_25","rr","1d","25d","chg_d","rr_1d_25","vol_decimal","Daily change of rr_1d_25 (snapshot-aligned)","rr_1d_25_t - rr_1d_25_{t-1td, same quote_time}"
"chg_1w_rr_1d_25","rr","1d","25d","chg_1w","rr_1d_25","vol_decimal","Weekly (5td) change of rr_1d_25 (snapshot-aligned)","rr_1d_25_t - rr_1d_25_{t-5td, same quote_time}"
"z_rr_7d_25","rr","7d","25d","z","rr_7d_25","z_score","63-trading-day rolling z-score of rr_7d_25 (snapshot-aligned)","(rr_7d_25_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_7d_25","rr","7d","25d","chg_d","rr_7d_25","vol_decimal","Daily change of rr_7d_25 (snapshot-aligned)","rr_7d_25_t - rr_7d_25_{t-1td, same quote_time}"
"chg_1w_rr_7d_25","rr","7d","25d","chg_1w","rr_7d_25","vol_decimal","Weekly (5td) change of rr_7d_25 (snapshot-aligned)","rr_7d_25_t - rr_7d_25_{t-5td, same quote_time}"
"z_rr_30d_25","rr","30d","25d","z","rr_30d_25","z_score","63-trading-day rolling z-score of rr_30d_25 (snapshot-aligned)","(rr_30d_25_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_30d_25","rr","30d","25d","chg_d","rr_30d_25","vol_decimal","Daily change of rr_30d_25 (snapshot-aligned)","rr_30d_25_t - rr_30d_25_{t-1td, same quote_time}"
"chg_1w_rr_30d_25","rr","30d","25d","chg_1w","rr_30d_25","vol_decimal","Weekly (5td) change of rr_30d_25 (snapshot-aligned)","rr_30d_25_t - rr_30d_25_{t-5td, same quote_time}"
"z_rr_90d_25","rr","90d","25d","z","rr_90d_25","z_score","63-trading-day rolling z-score of rr_90d_25 (snapshot-aligned)","(rr_90d_25_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_90d_25","rr","90d","25d","chg_d","rr_90d_25","vol_decimal","Daily change of rr_90d_25 (snapshot-aligned)","rr_90d_25_t - rr_90d_25_{t-1td, same quote_time}"
"chg_1w_rr_90d_25","rr","90d","25d","chg_1w","rr_90d_25","vol_decimal","Weekly (5td) change of rr_90d_25 (snapshot-aligned)","rr_90d_25_t - rr_90d_25_{t-5td, same quote_time}"
"z_rr_180d_25","rr","180d","25d","z","rr_180d_25","z_score","63-trading-day rolling z-score of rr_180d_25 (snapshot-aligned)","(rr_180d_25_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_180d_25","rr","180d","25d","chg_d","rr_180d_25","vol_decimal","Daily change of rr_180d_25 (snapshot-aligned)","rr_180d_25_t - rr_180d_25_{t-1td, same quote_time}"
"chg_1w_rr_180d_25","rr","180d","25d","chg_1w","rr_180d_25","vol_decimal","Weekly (5td) change of rr_180d_25 (snapshot-aligned)","rr_180d_25_t - rr_180d_25_{t-5td, same quote_time}"
"z_rr_30d_10","rr","30d","10d","z","rr_30d_10","z_score","63-trading-day rolling z-score of rr_30d_10 (snapshot-aligned)","(rr_30d_10_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_30d_10","rr","30d","10d","chg_d","rr_30d_10","vol_decimal","Daily change of rr_30d_10 (snapshot-aligned)","rr_30d_10_t - rr_30d_10_{t-1td, same quote_time}"
"chg_1w_rr_30d_10","rr","30d","10d","chg_1w","rr_30d_10","vol_decimal","Weekly (5td) change of rr_30d_10 (snapshot-aligned)","rr_30d_10_t - rr_30d_10_{t-5td, same quote_time}"
"z_rr_90d_10","rr","90d","10d","z","rr_90d_10","z_score","63-trading-day rolling z-score of rr_90d_10 (snapshot-aligned)","(rr_90d_10_t - μ) / σ over last 63td at same quote_time"
"chg_d_rr_90d_10","rr","90d","10d","chg_d","rr_90d_10","vol_decimal","Daily change of rr_90d_10 (snapshot-aligned)","rr_90d_10_t - rr_90d_10_{t-1td, same quote_time}"
"chg_1w_rr_90d_10","rr","90d","10d","chg_1w","rr_90d_10","vol_decimal","Weekly (5td) change of rr_90d_10 (snapshot-aligned)","rr_90d_10_t - rr_90d_10_{t-5td, same quote_time}"
"z_vix_basis_1d_30d","vix_basis","1d_30d",NULL,"z","vix_basis_1d_30d","z_score","63-trading-day rolling z-score of vix_basis_1d_30d (snapshot-aligned)","(vix_basis_1d_30d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_basis_1d_30d","vix_basis","1d_30d",NULL,"chg_d","vix_basis_1d_30d","vol_decimal","Daily change of vix_basis_1d_30d (snapshot-aligned)","vix_basis_1d_30d_t - vix_basis_1d_30d_{t-1td, same quote_time}"
"chg_1w_vix_basis_1d_30d","vix_basis","1d_30d",NULL,"chg_1w","vix_basis_1d_30d","vol_decimal","Weekly (5td) change of vix_basis_1d_30d (snapshot-aligned)","vix_basis_1d_30d_t - vix_basis_1d_30d_{t-5td, same quote_time}"
"z_vix_basis_30d_90d","vix_basis","30d_90d",NULL,"z","vix_basis_30d_90d","z_score","63-trading-day rolling z-score of vix_basis_30d_90d (snapshot-aligned)","(vix_basis_30d_90d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_basis_30d_90d","vix_basis","30d_90d",NULL,"chg_d","vix_basis_30d_90d","vol_decimal","Daily change of vix_basis_30d_90d (snapshot-aligned)","vix_basis_30d_90d_t - vix_basis_30d_90d_{t-1td, same quote_time}"
"chg_1w_vix_basis_30d_90d","vix_basis","30d_90d",NULL,"chg_1w","vix_basis_30d_90d","vol_decimal","Weekly (5td) change of vix_basis_30d_90d (snapshot-aligned)","vix_basis_30d_90d_t - vix_basis_30d_90d_{t-5td, same quote_time}"
"z_log_ret_d","log_ret","d",NULL,"z","log_ret_d","z_score","63-trading-day rolling z-score of log_ret_d (snapshot-aligned)","(log_ret_d_t - μ) / σ over last 63td at same quote_time"
"z_log_ret_1w","log_ret","1w",NULL,"z","log_ret_1w","z_score","63-trading-day rolling z-score of log_ret_1w (snapshot-aligned)","(log_ret_1w_t - μ) / σ over last 63td at same quote_time"
"z_log_ret_1m","log_ret","1m",NULL,"z","log_ret_1m","z_score","63-trading-day rolling z-score of log_ret_1m (snapshot-aligned)","(log_ret_1m_t - μ) / σ over last 63td at same quote_time"
"z_rv_1w","rv","1w",NULL,"z","rv_1w","z_score","63-trading-day rolling z-score of rv_1w (snapshot-aligned)","(rv_1w_t - μ) / σ over last 63td at same quote_time"
"chg_d_rv_1w","rv","1w",NULL,"chg_d","rv_1w","vol_decimal","Daily change of rv_1w (snapshot-aligned)","rv_1w_t - rv_1w_{t-1td, same quote_time}"
"chg_1w_rv_1w","rv","1w",NULL,"chg_1w","rv_1w","vol_decimal","Weekly (5td) change of rv_1w (snapshot-aligned)","rv_1w_t - rv_1w_{t-5td, same quote_time}"
"z_rv_1m","rv","1m",NULL,"z","rv_1m","z_score","63-trading-day rolling z-score of rv_1m (snapshot-aligned)","(rv_1m_t - μ) / σ over last 63td at same quote_time"
"chg_d_rv_1m","rv","1m",NULL,"chg_d","rv_1m","vol_decimal","Daily change of rv_1m (snapshot-aligned)","rv_1m_t - rv_1m_{t-1td, same quote_time}"
"chg_1w_rv_1m","rv","1m",NULL,"chg_1w","rv_1m","vol_decimal","Weekly (5td) change of rv_1m (snapshot-aligned)","rv_1m_t - rv_1m_{t-5td, same quote_time}"
"z_rv_3m","rv","3m",NULL,"z","rv_3m","z_score","63-trading-day rolling z-score of rv_3m (snapshot-aligned)","(rv_3m_t - μ) / σ over last 63td at same quote_time"
"chg_d_rv_3m","rv","3m",NULL,"chg_d","rv_3m","vol_decimal","Daily change of rv_3m (snapshot-aligned)","rv_3m_t - rv_3m_{t-1td, same quote_time}"
"chg_1w_rv_3m","rv","3m",NULL,"chg_1w","rv_3m","vol_decimal","Weekly (5td) change of rv_3m (snapshot-aligned)","rv_3m_t - rv_3m_{t-5td, same quote_time}"
"z_vrp_1w","vrp","1w",NULL,"z","vrp_1w","z_score","63-trading-day rolling z-score of vrp_1w (snapshot-aligned)","(vrp_1w_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_1w","vrp","1w",NULL,"chg_d","vrp_1w","vol_decimal","Daily change of vrp_1w (snapshot-aligned)","vrp_1w_t - vrp_1w_{t-1td, same quote_time}"
"chg_1w_vrp_1w","vrp","1w",NULL,"chg_1w","vrp_1w","vol_decimal","Weekly (5td) change of vrp_1w (snapshot-aligned)","vrp_1w_t - vrp_1w_{t-5td, same quote_time}"
"z_vrp_ratio_1w","vrp_ratio","1w",NULL,"z","vrp_ratio_1w","z_score","63-trading-day rolling z-score of vrp_ratio_1w (snapshot-aligned)","(vrp_ratio_1w_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_ratio_1w","vrp_ratio","1w",NULL,"chg_d","vrp_ratio_1w","ratio","Daily change of vrp_ratio_1w (snapshot-aligned)","vrp_ratio_1w_t - vrp_ratio_1w_{t-1td, same quote_time}"
"chg_1w_vrp_ratio_1w","vrp_ratio","1w",NULL,"chg_1w","vrp_ratio_1w","ratio","Weekly (5td) change of vrp_ratio_1w (snapshot-aligned)","vrp_ratio_1w_t - vrp_ratio_1w_{t-5td, same quote_time}"
"z_vrp_1m","vrp","1m",NULL,"z","vrp_1m","z_score","63-trading-day rolling z-score of vrp_1m (snapshot-aligned)","(vrp_1m_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_1m","vrp","1m",NULL,"chg_d","vrp_1m","vol_decimal","Daily change of vrp_1m (snapshot-aligned)","vrp_1m_t - vrp_1m_{t-1td, same quote_time}"
"chg_1w_vrp_1m","vrp","1m",NULL,"chg_1w","vrp_1m","vol_decimal","Weekly (5td) change of vrp_1m (snapshot-aligned)","vrp_1m_t - vrp_1m_{t-5td, same quote_time}"
"z_vrp_ratio_1m","vrp_ratio","1m",NULL,"z","vrp_ratio_1m","z_score","63-trading-day rolling z-score of vrp_ratio_1m (snapshot-aligned)","(vrp_ratio_1m_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_ratio_1m","vrp_ratio","1m",NULL,"chg_d","vrp_ratio_1m","ratio","Daily change of vrp_ratio_1m (snapshot-aligned)","vrp_ratio_1m_t - vrp_ratio_1m_{t-1td, same quote_time}"
"chg_1w_vrp_ratio_1m","vrp_ratio","1m",NULL,"chg_1w","vrp_ratio_1m","ratio","Weekly (5td) change of vrp_ratio_1m (snapshot-aligned)","vrp_ratio_1m_t - vrp_ratio_1m_{t-5td, same quote_time}"
"z_vrp_3m","vrp","3m",NULL,"z","vrp_3m","z_score","63-trading-day rolling z-score of vrp_3m (snapshot-aligned)","(vrp_3m_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_3m","vrp","3m",NULL,"chg_d","vrp_3m","vol_decimal","Daily change of vrp_3m (snapshot-aligned)","vrp_3m_t - vrp_3m_{t-1td, same quote_time}"
"chg_1w_vrp_3m","vrp","3m",NULL,"chg_1w","vrp_3m","vol_decimal","Weekly (5td) change of vrp_3m (snapshot-aligned)","vrp_3m_t - vrp_3m_{t-5td, same quote_time}"
"z_vrp_ratio_3m","vrp_ratio","3m",NULL,"z","vrp_ratio_3m","z_score","63-trading-day rolling z-score of vrp_ratio_3m (snapshot-aligned)","(vrp_ratio_3m_t - μ) / σ over last 63td at same quote_time"
"chg_d_vrp_ratio_3m","vrp_ratio","3m",NULL,"chg_d","vrp_ratio_3m","ratio","Daily change of vrp_ratio_3m (snapshot-aligned)","vrp_ratio_3m_t - vrp_ratio_3m_{t-1td, same quote_time}"
"chg_1w_vrp_ratio_3m","vrp_ratio","3m",NULL,"chg_1w","vrp_ratio_3m","ratio","Weekly (5td) change of vrp_ratio_3m (snapshot-aligned)","vrp_ratio_3m_t - vrp_ratio_3m_{t-5td, same quote_time}"
"z_vov_30d_1m","vov","30d","1m","z","vov_30d_1m","z_score","63-trading-day rolling z-score of vov_30d_1m (snapshot-aligned)","(vov_30d_1m_t - μ) / σ over last 63td at same quote_time"
"z_spot_vol_30d_1m","spot_vol","30d","1m","z","spot_vol_30d_1m","z_score","63-trading-day rolling z-score of spot_vol_30d_1m (snapshot-aligned)","(spot_vol_30d_1m_t - μ) / σ over last 63td at same quote_time"
"z_spot_vol_30d_3m","spot_vol","30d","3m","z","spot_vol_30d_3m","z_score","63-trading-day rolling z-score of spot_vol_30d_3m (snapshot-aligned)","(spot_vol_30d_3m_t - μ) / σ over last 63td at same quote_time"
